id,dataset_name,domain,store_name,split,category,prompt,response
ecs_0001,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Good morning, How do I recover access to my account if login is failing? This is my first order on your platform. Kindly guide me.","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0002,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hi, The app is not letting me sign in even though I am using the correct details. I am a first-time customer. I need support with this.","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0003,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hey support, I cannot log in to my account because I am not receiving the OTP. What should I do?","Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0004,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hello, I cannot log in to my account because I keep getting an invalid credentials message. This is my first order on your platform. Kindly guide me.","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0005,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,I cannot log in to my account because I am not receiving the OTP. I order from your app regularly. Kindly guide me.,"Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0006,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hello, I cannot log in to my account because the app signs me out every time I log in. I need support with this.","Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0007,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hi, How do I recover access to my account if login is failing? I am a first-time customer. Can you check this for me?","Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
ecs_0008,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,I am locked out of my shopping account and need help getting back in. This is my first order on your platform. Kindly guide me.,"Please confirm that you are using the correct registered email or phone number, then try the reset password or OTP option. If login still fails after clearing cache or trying another browser, contact support for further verification."
ecs_0009,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,"Hi, How do I recover access to my account if login is failing? I am a first-time customer. Kindly guide me.","Please use Forgot Password or the OTP login option first and make sure you are using the registered email address or phone number. If you still cannot log in, clear the app cache, try again, and contact support if the issue continues."
ecs_0010,ecommerce_customer_support_assistant,e-commerce customer support,ShopSphere,train,account_login_issue,I cannot log in to my account because the app signs me out every time I log in. Please advise.,"Start with password reset or OTP login using your registered contact details. If the OTP does not arrive or the app keeps failing, clear cache or try the website version before contacting support for account assistance."
